"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
16,"Which mistake is a common error in the chi-square formula?","Using expected counts in the denominator","Adding category contributions at the end","Computing a p-value from the distribution","Using observed counts in the denominator",20,4,,,,,,,,,,,,,,,,,,
17,"Why can a chi-square statistic be much larger than z or t?","It sums several nonnegative category contributions","It rescales by sample size more aggressively","It always uses four categories in practice","It converts every count into a proportion",20,1,,,,,,,,,,,,,,,,,,
18,"Before finding a p-value what must be known for chi-square GOF?","The sample mean and the sample deviation","The test statistic and the degrees of freedom","The confidence level and the standard error","The median and the interquartile range",20,2,,,,,,,,,,,,,,,,,,
19,"Which result gives stronger evidence against the null model?","A statistic that falls much closer to zero","A p-value that falls much closer to one","A larger statistic deeper in the right tail","A smaller number of categories in the table",20,3,,,,,,,,,,,,,,,,,,
20,"Why is it helpful to state the null proportions by category?","It guarantees the alternative is two-sided","It removes the need to describe categories","It proves the sample matches the population","It makes the expected counts and model explicit",20,4,,,,,,,,,,,,,,,,,,
21,"What does the alternative hypothesis claim in a GOF test?","Every category has the same expected count","At least one category proportion differs from the null","The sample size is too small for the model","All observed counts must exceed the expected counts",20,2,,,,,,,,,,,,,,,,,,
22,"Why do expected counts come from the null model?","The null model defines what counts should look like","The sample pattern already fixes randomness exactly","The null model is chosen after the sample is seen","The sample pattern is used only for the table",20,1,,,,,,,,,,,,,,,,,,
23,"If a category has a big squared gap and a small expected count then its contribution will often what?","Stay the same because all categories count equally","Turn negative because the denominator is small","Shrink because small counts matter less here","Grow because the gap is large for that scale",20,4,,,,,,,,,,,,,,,,,,
24,"Which statement about degrees of freedom is correct?","They depend only on the total sample size","They increase when one observed count is large","They reflect how many categories vary independently","They are chosen from the p-value after testing",20,3,,,,,,,,,,,,,,,,,,
25,"Why is a very small chi-square statistic not evidence against the null?","It means the categories were sampled incorrectly","It means the sample matches the expected pattern closely","It proves every population proportion is exact","It means the expected counts were too uneven",20,2,,,,,,,,,,,,,,,,,,
26,"What does moving farther right on a chi-square distribution mean?","Bigger gaps between observed and expected counts","Fewer categories contributing to the statistic","Smaller sample sizes under the null model","Better agreement between observed and expected counts",20,1,,,,,,,,,,,,,,,,,,
27,"Which expression matches the structure of one contribution?","Raw gap between observed and expected","Expected count divided by observed count","Squared gap divided by expected count","Squared gap divided by total sample size",20,3,,,,,,,,,,,,,,,,,,
28,"Why is dividing by the total sample size a mistake here?","It makes the calculator use the wrong tail","It forces the statistic to become negative","It changes the degrees of freedom to zero","It ignores the expected scale of each category",20,4,,,,,,,,,,,,,,,,,,
29,"In a chi-square table what do you compare with the listed critical values?","The chi-square statistic from the sample","The largest expected count in the data","The p-value from the calculator display","The sample proportion from the null model",20,1,,,,,,,,,,,,,,,,,,
30,"Which statement best contrasts chi-square GOF with many earlier tests?","It relies on a negative statistic to reject the null","It uses a right-tail area from a nonnegative statistic","It directly compares two sample means in every case","It uses a left-tail area because small values are unusual",20,2,,,,,,,,,,,,,,,,,,
