"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
15,"When creating a randomization distribution, we ignore the original group assignments because:","We want to model what happens when group assignment doesn't matter (no effect)","The original assignments were probably wrong","Random assignment always produces the same results","We need to increase the sample size",25,1,,,,,,,,,,,,,,,,,,
16,"In a randomization test, if the observed result falls in the TAIL of the distribution, this suggests:","The result is unlikely to have occurred by chance alone — evidence of a real effect","The result is exactly what we'd expect by chance","The experiment was conducted incorrectly","The sample size was too small",25,1,,,,,,,,,,,,,,,,,,
17,"A randomization distribution produces a probability of 0.03 for the observed result. This means:","Only 3% of random reassignments produced a result this extreme — unlikely by chance","The treatment worked exactly 3% of the time","We need 3% more data to draw conclusions","The experiment had a 3% error rate",25,1,,,,,,,,,,,,,,,,,,
18,"If a randomization test gives a probability of 0.45, what should you conclude?","The observed result could easily have occurred by chance — weak/no evidence of effect","The treatment definitely works","The treatment definitely doesn't work","The experiment needs to be repeated exactly 0.45 times",25,1,,,,,,,,,,,,,,,,,,
19,"A small probability from a randomization test (like 0.01) provides:","Evidence that the observed effect is real, not just due to chance","Proof that the treatment works perfectly","Evidence that the experiment was flawed","No useful information",25,1,,,,,,,,,,,,,,,,,,
20,"What does 'by chance alone' mean in the context of randomization?","The result that would occur if treatment had NO effect and group differences were just random","The probability that we made a calculation error","The likelihood of getting exactly the population parameter","The chance that our sample is biased",25,1,,,,,,,,,,,,,,,,,,
21,"A randomization distribution is centered at 0 (no difference). If your observed difference is far from 0, this suggests:","Your result is unusual if there's truly no effect — possible evidence the treatment works","Your calculation was wrong","The randomization was done incorrectly","You need a larger sample",25,1,,,,,,,,,,,,,,,,,,
22,"How many simulations are typically used to build a randomization distribution?","Hundreds or thousands (e.g., 1,000 or 10,000)","Exactly 30","Just 2 or 3","The same as the sample size",20,1,,,,,,,,,,,,,,,,,,
23,"Each point in a randomization distribution represents:","One possible outcome if groups were randomly assigned with no real treatment effect","One person in the original sample","One measurement from the population","The mean of the entire population",25,1,,,,,,,,,,,,,,,,,,
24,"A researcher observes a difference of 5 units between treatment and control. The randomization distribution shows this is larger than 98% of simulated differences. The probability is:","0.02 — only 2% of chance results were this extreme","0.98 — most results were smaller","0.50 — it's right in the middle","5.00 — same as the observed difference",25,1,,,,,,,,,,,,,,,,,,
25,"Why is the shape of a randomization distribution often approximately normal?","The Central Limit Theorem applies to differences in means too","All randomization distributions are required to be normal","We force it to be normal by our choice of simulations","Random chance always produces bell curves",25,1,,,,,,,,,,,,,,,,,,
26,"A sampling distribution helps us understand _____, while a randomization distribution helps us assess _____.","How statistics vary across samples; whether an observed effect could be due to chance","Population parameters; sample statistics","Individual values; group means","Probability; frequency",25,1,,,,,,,,,,,,,,,,,,
27,"If a population is extremely skewed, which sample size would MORE LIKELY give an approximately normal sampling distribution?","n = 100","n = 5","n = 2","Sample size doesn't matter for skewed populations",20,1,,,,,,,,,,,,,,,,,,
28,"True or False: The Central Limit Theorem means that ALL sampling distributions are normal.","False — it only applies when sample size is large enough","True — that's exactly what CLT says","False — CLT only works for proportions, not means","True — but only for symmetric populations",25,1,,,,,,,,,,,,,,,,,,
29,"A researcher wants to know if a new drug works. She runs a randomization test and gets a probability of 0.001. This is strong evidence that:","The drug has a real effect — this result is very unlikely by chance alone","The drug definitely cures everyone","Her experiment had errors","She needs a bigger sample size",25,1,,,,,,,,,,,,,,,,,,
30,"Another researcher tests a different drug and gets a probability of 0.35. She should conclude:","The observed difference could plausibly be due to chance — not convincing evidence the drug works","The drug definitely doesn't work","The drug works 35% of the time","She made a calculation error",25,1,,,,,,,,,,,,,,,,,,
31,"Why is simulation useful for understanding sampling distributions?","We can see the pattern that emerges from many samples without collecting them all in real life","Simulations are always more accurate than real data","Real sampling is illegal in most countries","Simulations work faster than calculators",25,1,,,,,,,,,,,,,,,,,,
32,"The spread of a sampling distribution depends primarily on:","Sample size — larger samples produce less spread","Population shape — skewed populations have more spread","The number of simulations run","Whether we use replacement when sampling",25,1,,,,,,,,,,,,,,,,,,
33,"A sampling distribution with n = 25 is narrower than one with n = 4 because:","Larger samples give means that are closer to the true population mean","Smaller samples have more individuals","The population got smaller","We used a different simulation method",25,1,,,,,,,,,,,,,,,,,,
34,"What question does a randomization test help answer?","Could the observed result have happened by chance if the treatment had no effect?","What is the exact effect size of the treatment?","How many more subjects do we need?","What is the population mean?",25,1,,,,,,,,,,,,,,,,,,
35,"If you observe a difference of 8 between groups, and only 15 out of 1000 simulations gave a difference of 8 or more, the probability is:","0.015 — providing fairly strong evidence against chance","0.985 — almost all simulations matched your result","8.000 — the same as the observed difference","15 — the count of extreme simulations",20,1,,,,,,,,,,,,,,,,,,
