old_id,old_label,status,new_id,new_topic_name,note,video_file
4.8,"Topic 4.8",KEEP,2.9,"Parameters of Random Variables","","media/4-8__0__1KgvrdwR0U9ScngjSq4AS7WJ2ecuQzswu.mp4"
4.9,"Topic 4.9",BONUS,,"","combining random variables","media/4-9__0__1welWQ8TTKlI1gBl4MrWzsd_NGeXZNanh.mp4"
4.10,"Topic 4.10",KEEP,2.10,"The Binomial Distribution","","media/4-10__0__1JC95sdBTR6XF2W9STnF9ENg8ki85B2oM.mp4"
4.11,"Topic 4.11",KEEP,2.10,"The Binomial Distribution","merged into Binomial","media/4-11__0__1Yb5FnTa4R-JbWUaAqNsWJtYtbMaWw2gd.mp4"
4.12,"Topic 4.12",BONUS,,"","geometric distribution","media/4-12__0__1PVmey_huN37gyeaxXfKMOJRKhdWpPY_N.mp4"
5.1,"Topic 5.1",KEEP,2.12,"Sampling Distributions & CLT","intro folded","media/5-1__0__1QtdgRvz6FDzTKK4UgACKVxdqJMyZDGR8.mp4"
5.2,"Topic 5.2",KEEP,2.11,"The Normal Distribution","Normal, merged","media/5-2__0__1JFYjH0zXcPRk4Z18dTnbqWQLhu6IM_y3.mp4"
5.3,"Topic 5.3",KEEP,2.12,"Sampling Distributions & CLT","","media/5-3__0__1N5xTQ9hpOwIDTxbF0AxIzPxxaCbmOWaA.mp4"
5.4,"Topic 5.4",KEEP,3.1,"Estimators","","media/5-4__0__1n0CE4BjYdx_bRDz-iEH2FyK7sfgcG3Mj.mp4"
5.5,"Topic 5.5",KEEP,3.2,"Sampling dist. for proportions","","media/5-5__0__1y1iW173PGADlfmDuZuvUYwg-czY2FKCo.mp4"
5.6,"Topic 5.6",KEEP,3.9,"Sampling dist. (diff of proportions)","","media/5-6__0__1XufYZpotzaSRppEfFckSzr6mVavfTWoX.mp4"
5.7,"Topic 5.7",KEEP,4.1,"Sampling dist. for means","","media/5-7__0__1ovisJH6Caxyyg8bLqPfGINveGYqQGD39.mp4"
5.8,"Topic 5.8",KEEP,4.6,"Sampling dist. (diff of means)","","media/5-8__0__1zaan99AFqpAEwbvLob9LwBqV-dji4Yli.mp4"
6.1,"Topic 6.1",KEEP,3.3,"CI for a proportion","intro folded","media/6-1__0__1fKcwvZJ-k_1_W4oNdavj1PhE5HdxpwiA.mp4"
6.2,"Topic 6.2",KEEP,3.3,"CI for a proportion","","media/6-2__0__1Z1IVxhFEx4Bul3FfJHBqBSn8LyTDMfOB.mp4"
6.3,"Topic 6.3",KEEP,3.4,"Justify claim (CI, proportion)","","media/6-3__0__1jeFQcdB2pJN0iZbYzB_MZcvotx00A0mr.mp4"
6.4,"Topic 6.4",KEEP,3.5,"Set up test (proportion)","","media/6-4__0__11xz3nOZxcbyVkG5zbq62s0A1Bjl4hSaL.mp4"
6.5,"Topic 6.5",KEEP,3.6,"p-Values","","media/6-5__0__1K1SjzRvRK_7YmJCDwktQvqDKrZl0hXes.mp4"
6.6,"Topic 6.6",KEEP,3.7,"Carry out test (proportion)","","media/6-6__0__1DMt9tQ1_QTmBEQtOZAAukjxirGcMBrUf.mp4"
6.7,"Topic 6.7",KEEP,3.8,"Potential Errors","","media/6-7__0__1xbhiSuRKc4cfXW3Ppb7iItQoh1FM_QRX.mp4"
6.8,"Topic 6.8",KEEP,3.10,"CI (diff of proportions)","","media/6-8__0__1mRfi7bTMSHtadxhLc2pAEmAMjmLpgvZn.mp4"
6.9,"Topic 6.9",KEEP,3.11,"Justify claim (CI, 2 prop)","","media/6-9__0__1LqtzJe8MTykYtX8mVcf4pbU1BtVcvwfb.mp4"
6.10,"Topic 6.10",KEEP,3.12,"Set up test (2 prop)","","media/6-10__0__1dIRMyHdePpkx7pCJFcAkRHIPj2Q8RtqG.mp4"
6.11,"Topic 6.11",KEEP,3.13,"Carry out test (2 prop)","","media/6-11__0__1nJ5tGJ5m9ft1c8yieYqHjCQAvZLotnD1.mp4"
7.1,"Topic 7.1",KEEP,4.2,"CI for a mean (or mean diff)","intro folded","media/7-1__0__1DRCmH8ENSMJwf75yG-M_hPnUWcF2uww4.mp4"
7.2,"Topic 7.2",KEEP,4.2,"CI for a mean (or mean diff)","","media/7-2__0__1QOnc8wCvA10U9AvoAfl9ksdmnzC7rIi1.mp4"
7.3,"Topic 7.3",KEEP,4.3,"Justify claim (CI, mean)","","media/7-3__0__12f3_LWkXq3ezMJwDaFfGlxobizRKvj1I.mp4"
7.4,"Topic 7.4",KEEP,4.4,"Set up test (mean)","","media/7-4__0__1ugAdsbFI9jyFAClJPphWtmva2DWNron2.mp4"
7.5,"Topic 7.5",KEEP,4.5,"Carry out test (mean)","","media/7-5__0__1h5r9eDoSwjLJye7PeHcz68AI5p-RDFeR.mp4"
7.6,"Topic 7.6",KEEP,4.7,"CI (diff of means)","","media/7-6__0__1fIwr8VpJ1OfuMxmweLAYOL88CLUVpzvF.mp4"
7.7,"Topic 7.7",KEEP,4.8,"Justify claim (CI, 2 means)","","media/7-7__0__1bkfmDJMIaDxbg2XTAnRfdpamFMSCFfM-.mp4"
7.8,"Topic 7.8",KEEP,4.9,"Set up test (2 means)","","media/7-8__0__1uLGTaehZ2mRh5el69Zu88SnsWfwiKwRR.mp4"
7.9,"Topic 7.9",KEEP,4.10,"Carry out test (2 means)","","media/7-9__0__1329C4d76DZoxl1yQQql_T9SAeoHedObV.mp4"
8.1,"Topic 8.1",KEEP,3.14,"Set up chi-square (homog/indep)","intro folded","media/8-1__0__1kw-NYDqOcOUP8zvAsSuzIfuQ9KXow99C.mp4"
8.2,"Topic 8.2",BONUS,,"","chi-square goodness-of-fit","media/8-2__0__1Aup8w5fYTy69zWogOdtsXCO6kl6UNCCT.mp4"
8.3,"Topic 8.3",BONUS,,"","chi-square goodness-of-fit","media/8-3__0__1NemHYSwgnig3l3FUeyDYcDdt80aIYfd4.mp4"
8.4,"Topic 8.4",KEEP,3.14,"Set up chi-square (homog/indep)","expected counts folded","media/8-4__0__16dgP2zYBVUN2qzFlGRXKZ5aqErJv8FyQ.mp4"
8.5,"Topic 8.5",KEEP,3.14,"Set up chi-square (homog/indep)","","media/8-5__0__1YHP2ipcZ5Vj35OVgZBYwExUjfU-yB2q1.mp4"
8.6,"Topic 8.6",KEEP,3.15,"Carry out chi-square","","media/8-6__0__1DS_LxyMAABbjaN3VrMjBcDXy0PwbDaP3.mp4"
9.1,"Topic 9.1",BONUS,,"","slope inference (old Unit 9)","media/9-1__0__1aMPs1uK5H7dvYoVaGh2TQLkdJGBAjoPd.mp4"
9.2,"Topic 9.2",BONUS,,"","slope inference","media/9-2__0__18e3wAS58P1SW1ok8tv3mtFPhmM3pCRwN.mp4"
9.3,"Topic 9.3",BONUS,,"","slope inference","media/9-3__0__1yWqjcF-IyHImRwTBV3cEIt13u0infZzI.mp4"
9.4,"Topic 9.4",BONUS,,"","slope inference","media/9-4__0__1LKHmLObjf3Nnszvk833XeLgH5JJ9F0_g.mp4"
9.5,"Topic 9.5",BONUS,,"","slope inference","media/9-5__0__1aggJHSL5dJcEBYuo4Z7M_lvsoLvx4RYY.mp4"
