"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
33,"What does type(x) do in Python?","Returns the type of object x","Changes x to a different type","Checks if x is valid","Prints the value of x",20,1,,,,,,,,,,,,,,,,,,
34,"To check what type a value is in Python, you use the function:","typeof()","type()","class()","kind()",20,2,,,,,,,,,,,,,,,,,,
35,"What does float(3) return in Python?","3.0","3","'3.0'","Error",20,1,,,,,,,,,,,,,,,,,,
36,"What does int(3.9) return in Python?","3 (truncates toward zero)","4 (rounds up)","3.9 (no change)","Error",20,1,,,,,,,,,,,,,,,,,,
37,"What is an EXPRESSION in Python?","A combination of objects and operators that evaluates to a value","A statement that assigns a variable","A function definition","A comment in code",20,1,,,,,,,,,,,,,,,,,,
38,"Objects combined with operators that produce a value form a(n):","Statement","Expression","Declaration","Definition",20,2,,,,,,,,,,,,,,,,,,
39,"In Python, what does 5 / 2 return?","2.5 (a float)","2 (an integer)","2.0 (truncated)","Error",20,1,,,,,,,,,,,,,,,,,,
40,"Regular division (/) in Python always returns a:","int","float","bool","str",20,2,,,,,,,,,,,,,,,,,,
41,"In Python, what does 5 // 2 return?","2 (floor division - integer result)","2.5 (regular division)","2.0 (float result)","3 (ceiling division)",20,1,,,,,,,,,,,,,,,,,,
42,"The operator // in Python performs:","Floor division (rounds down to integer)","Regular division","Ceiling division (rounds up)","Modulo (remainder)",20,1,,,,,,,,,,,,,,,,,,
43,"In Python, what does 5 % 2 return?","1 (the remainder)","2 (the quotient)","2.5 (the division)","0 (even check)",20,1,,,,,,,,,,,,,,,,,,
44,"The operator % in Python returns the:","Remainder after division (modulo)","Percentage of a number","Quotient of division","Power of a number",20,1,,,,,,,,,,,,,,,,,,
45,"In Python, what does 2 ** 3 return?","8 (2 raised to the power 3)","6 (2 times 3)","5 (2 plus 3)","1 (2 minus 3 plus 2)",20,1,,,,,,,,,,,,,,,,,,
46,"The operator ** in Python performs:","Exponentiation (power)","Multiplication","Double division","Modulo squared",20,1,,,,,,,,,,,,,,,,,,
47,"What is BINDING in Python?","Associating a variable name with a value in memory","Connecting two programs together","Joining strings","Linking files",20,1,,,,,,,,,,,,,,,,,,
48,"When we write x = 5, we are creating a _____ between the name 'x' and the value 5:","Binding","Connection","Link","Reference",20,1,,,,,,,,,,,,,,,,,,
49,"In Python, what does the = operator do?","Assigns (binds) a value to a variable name","Tests if two values are equal","Compares two values","Subtracts values",20,1,,,,,,,,,,,,,,,,,,
50,"The = operator in Python is for:","Assignment (not mathematical equality)","Testing equality","Comparison","Subtraction",20,1,,,,,,,,,,,,,,,,,,
51,"In Python, which side of an assignment is evaluated FIRST?","The right side is evaluated, then the name is bound","The left side is evaluated first","Both sides at the same time","Neither - assignment is instant",20,1,,,,,,,,,,,,,,,,,,
52,"Why is x = x + 1 valid in Python?","The right side (x + 1) is computed first, then bound to x","Python ignores the math rules","The equation balances automatically","It creates an infinite loop",20,1,,,,,,,,,,,,,,,,,,
53,"Variables in Python store:","Values, not formulas - they don't auto-update","Formulas that recalculate automatically","References to other variables","Nothing until printed",20,1,,,,,,,,,,,,,,,,,,
54,"If area = pi * r**2, and then r changes, what happens to area?","Nothing - area keeps its original calculated value","Area automatically recalculates","Area becomes undefined","Python throws an error",20,1,,,,,,,,,,,,,,,,,,
55,"What is crucial advice for programming beginners according to the lecture?","Practice, practice, practice","Memorize all syntax","Read more books","Watch more videos",20,1,,,,,,,,,,,,,,,,,,
56,"The three pillars of learning programming are:","Understanding concepts, programming skill, and problem solving","Reading, writing, and arithmetic","Hardware, software, and networking","Input, processing, and output",20,1,,,,,,,,,,,,,,,,,,
57,"A computer only knows:","What you tell it - it has no intuition","Everything on the internet","More than humans","How to fix its own errors",20,1,,,,,,,,,,,,,,,,,,
58,"Why can't a computer directly use declarative knowledge to solve problems?","It needs a procedure (imperative knowledge) to compute answers","Computers reject all facts","Facts are too complex","Declarative knowledge is always wrong",20,1,,,,,,,,,,,,,,,,,,
59,"The four main components of a stored-program computer are:","Memory, ALU, control unit, and input/output","CPU, GPU, RAM, and SSD","Keyboard, mouse, monitor, and printer","Hardware, software, data, and users",20,1,,,,,,,,,,,,,,,,,,
60,"Everything in Python is a(n):","Object with a type","Variable with a name","Function with parameters","Class with methods",20,1,,,,,,,,,,,,,,,,,,
