"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
61,"What does the BREAK statement do?","Immediately exits the innermost loop","Pauses the loop","Skips to the next iteration","Exits all loops",20,1,,,,,,,,,,,,,,,,,,
62,"If break is inside nested loops, which loop does it exit?","Only the innermost loop it's in","All loops","The outermost loop","A random loop",20,1,,,,,,,,,,,,,,,,,,
63,"Can a for loop always be rewritten as a while loop?","Yes - they're equivalent for known iterations","No - for is more powerful","No - while is more powerful","Only sometimes",20,1,,,,,,,,,,,,,,,,,,
64,"Can every while loop be rewritten as a for loop?","No - while handles unpredictable iterations","Yes - they're always equivalent","Only for counting loops","Only with break statements",20,1,,,,,,,,,,,,,,,,,,
65,"The Lost Woods example shows why we need loops because:","We don't know how many times the user will go right","Trees are confusing","Zelda is a hard game","Left and right are opposites",20,1,,,,,,,,,,,,,,,,,,
66,"What would happen if we tried to solve Lost Woods with only if-elif-else?","We'd need infinitely nested if statements","It would work fine","The game would crash","We'd need exactly 10 ifs",20,1,,,,,,,,,,,,,,,,,,
67,"In 'for i in range(5):', what values does i take?","0, 1, 2, 3, 4","1, 2, 3, 4, 5","0, 1, 2, 3, 4, 5","1, 2, 3, 4",20,1,,,,,,,,,,,,,,,,,,
68,"What does this print: for i in range(3): print(i)","0, 1, 2 (on separate lines)","1, 2, 3","0, 1, 2, 3","3, 2, 1",20,1,,,,,,,,,,,,,,,,,,
69,"In range(start, stop, step), which is required?","stop is required; start and step have defaults","All three are required","Only start is required","None are required",20,1,,,,,,,,,,,,,,,,,,
70,"What are the DEFAULT values for range(stop)?","start=0, step=1","start=1, step=1","start=0, step=0","start=1, step=2",20,1,,,,,,,,,,,,,,,,,,
71,"Trace: total=0; for i in range(1,4): total=total+i. What is total?","6 (1+2+3)","10 (1+2+3+4)","3 (just the last value)","0 (nothing changed)",20,1,,,,,,,,,,,,,,,,,,
72,"Why is range(1,4) equal to 1,2,3 and NOT 1,2,3,4?","range stops at stop-1, not at stop","Python counts differently","4 is too big","It's a bug in Python",20,1,,,,,,,,,,,,,,,,,,
73,"What type does 3 * 'hi' produce?","String ('hihihi')","Integer","Error","List",20,1,,,,,,,,,,,,,,,,,,
74,"What type does 3 * 5 produce?","Integer (15)","String","Float","Error",20,1,,,,,,,,,,,,,,,,,,
75,"If x = '5', what is type(x)?","str (string)","int (integer)","float","number",20,1,,,,,,,,,,,,,,,,,,
76,"If x = 5, what is type(x)?","int (integer)","str (string)","float","number",20,1,,,,,,,,,,,,,,,,,,
77,"print('Hi', 'there') outputs:","Hi there (with space from comma)","Hithere (no space)","'Hi', 'there'","Hi\nthere",20,1,,,,,,,,,,,,,,,,,,
78,"print('Hi' + 'there') outputs:","Hithere (no space)","Hi there (with space)","Hi + there","Error",20,1,,,,,,,,,,,,,,,,,,
79,"To print 'My age is 25' using a variable age=25 with commas:","print('My age is', age)","print('My age is' + age)","print('My age is', str(age))","print('My age is + age')",20,1,,,,,,,,,,,,,,,,,,
80,"To print 'Score:100' (no space) using score=100:","print('Score:' + str(score))","print('Score:', score)","print('Score:' score)","print('Score:' + score)",20,1,,,,,,,,,,,,,,,,,,
