"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
40,"'Likes math' and 'Freshman' are mutually exclusive. TRUE or FALSE?","TRUE","FALSE","Only for some students","Depends on grades",20,2,,,,,,,,,,,,,,,,,,
41,"Events with small P(A ∩ B) are always mutually exclusive. TRUE or FALSE?","TRUE","FALSE","Only if P < 0.05","Only if P < 0.01",20,2,,,,,,,,,,,,,,,,,,
42,"Mutually exclusive means P(A ∩ B) = 0 exactly. TRUE or FALSE?","TRUE","FALSE","Close to 0 counts","Any small value works",20,1,,,,,,,,,,,,,,,,,,
43,"P(B|A) means probability of B given A occurred. TRUE or FALSE?","TRUE","FALSE","Only for independent events","Only for dependent events",20,1,,,,,,,,,,,,,,,,,,
45,"The formula P(B|A) = P(A ∩ B) / P(A) is correct. TRUE or FALSE?","TRUE","FALSE","Missing a term","Has extra term",20,1,,,,,,,,,,,,,,,,,,
47,"P(A|B) and P(B|A) are always equal. TRUE or FALSE?","TRUE","FALSE","Only for independent","Only for dependent",20,2,,,,,,,,,,,,,,,,,,
48,"P(A|B) and P(B|A) can be different values. TRUE or FALSE?","TRUE","FALSE","Only for mutually exclusive","Only for complements",20,1,,,,,,,,,,,,,,,,,,
49,"The multiplication rule: P(A ∩ B) = P(A) × P(B|A). TRUE or FALSE?","TRUE","FALSE","Missing addition","Should be division",20,1,,,,,,,,,,,,,,,,,,
51,"A bag has 4 red, 6 blue marbles. P(first red) = 4/10. TRUE or FALSE?","TRUE","FALSE","Should be 4/6","Should be 6/10",20,1,,,,,,,,,,,,,,,,,,
53,"After drawing red WITHOUT replacement, P(second red) = 3/9. TRUE or FALSE?","TRUE","FALSE","Still 4/10","Now it's 4/9",20,1,,,,,,,,,,,,,,,,,,
54,"With replacement, drawing red doesn't change P(second red). TRUE or FALSE?","TRUE","FALSE","Always changes it","Depends on color",20,1,,,,,,,,,,,,,,,,,,
55,"Without replacement changes the composition of remaining items. TRUE or FALSE?","TRUE","FALSE","Only for large samples","Only for small samples",20,1,,,,,,,,,,,,,,,,,,
56,"Without replacement, probabilities stay constant across draws. TRUE or FALSE?","TRUE","FALSE","Only for first draw","Only for last draw",20,2,,,,,,,,,,,,,,,,,,
57,"In a two-way table, joint probability uses the grand total. TRUE or FALSE?","TRUE","FALSE","Uses row total","Uses column total",20,1,,,,,,,,,,,,,,,,,,
58,"In the Super Status! table (433 students), which probability is found by dividing a cell by the grand total 433?","P(Fly | Not Rich)","P(Happy ∩ Freeze Time)","P(Rich | Fly)","P(Fly | Rich)",20,2,,,,,,,,,,,,,,,,,,
59,"For P(B|A), the denominator is the total for condition A. TRUE or FALSE?","TRUE","FALSE","Denominator is grand total","Denominator is P(B)",20,1,,,,,,,,,,,,,,,,,,
61,"Exit ticket: of 200 students, 100 are freshmen and 45 of those freshmen chose Math (105 chose Math overall). P(Math | Freshman) = ?","45/100","45/200","100/200","105/200",20,1,,,,,,,,,,,,,,,,,,
63,"Super Status! table: P(Rich ∩ Fly) = 22/433, the Fly row total is 89 and the Rich column total is 102. Which fraction is P(Rich | Fly)?","22/102","22/89","22/433","89/433",20,2,,,,,,,,,,,,,,,,,,
65,"In a Venn diagram, how are two mutually exclusive events drawn?","One circle covering the whole rectangle","Two circles that do not touch","Two overlapping circles","One circle inside the other",20,2,,,,,,,,,,,,,,,,,,
67,"Record store: the owner computes P(genre) for all six genres and adds them. What total confirms a valid probability distribution?","1","0","6","2105",20,1,,,,,,,,,,,,,,,,,,
69,"Record store: P(Jazz) ≈ 0.205. In a repeatable situation like selecting many albums, this probability is best interpreted as:","The relative frequency of jazz albums in the long run","The exact number of jazz albums in the next 10 sales","A guarantee that the next album is jazz","The share of jazz albums still on the shelves",20,1,,,,,,,,,,,,,,,,,,
70,"Probability predicts exact outcomes for single trials. TRUE or FALSE?","TRUE","FALSE","Only in long run","Only with large samples",20,2,,,,,,,,,,,,,,,,,,
