"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
13,"What is the FIRST way to check if events are independent?","Check if P(A|B) equals P(A)","Check if P(A and B) equals zero","Check if P(A) plus P(B) equals one","Check if P(A) equals P(B)",20,1,,,,,,,,,,,,,,,,,,
14,"What is the SECOND way to check if events are independent?","Check if P(A and B) equals P(A) times P(B)","Check if P(A or B) equals P(A) plus P(B)","Check if P(A|B) equals P(B|A)","Check if P(A) equals P(B)",20,1,,,,,,,,,,,,,,,,,,
15,"If P(E) = 0.4, P(F) = 0.6, and P(E and F) = 0.25, are E and F independent?","No - because 0.4 times 0.6 = 0.24, not 0.25","Yes - because both probabilities are less than 1","No - because 0.4 plus 0.6 = 1.0","Yes - because the events can occur together",20,1,,,,,,,,,,,,,,,,,,
16,"To check independence using conditional probability, calculate P(E|F) as:","P(E and F) divided by P(F)","P(E) times P(F)","P(E) plus P(F)","P(F) divided by P(E)",20,1,,,,,,,,,,,,,,,,,,
17,"If P(E|F) = 0.4167 but P(E) = 0.40, the events are:","Not independent - conditional does not equal unconditional","Independent - the values are close enough","Mutually exclusive - they differ by a small amount","Complementary - they add to approximately 0.82",20,1,,,,,,,,,,,,,,,,,,
18,"What is the UNION of events A and B?","The probability that A OR B (or both) occurs","The probability that A AND B both occur","The probability that neither A nor B occurs","The probability that exactly one occurs",20,1,,,,,,,,,,,,,,,,,,
19,"P(A union B) or P(A or B) represents events where:","A occurs, B occurs, or both occur","Only A occurs without B","Only B occurs without A","Neither A nor B occurs",20,1,,,,,,,,,,,,,,,,,,
20,"What is the ADDITION RULE formula?","P(A or B) = P(A) + P(B) - P(A and B)","P(A or B) = P(A) + P(B) + P(A and B)","P(A or B) = P(A) times P(B)","P(A or B) = P(A) - P(B)",20,1,,,,,,,,,,,,,,,,,,
21,"In the addition rule, why do we SUBTRACT P(A and B)?","To avoid counting the intersection twice","To make the probability less than one","To account for independent events","To convert to conditional probability",20,1,,,,,,,,,,,,,,,,,,
22,"The intersection of A and B would be counted twice if we only:","Add P(A) and P(B) without subtracting overlap","Multiply P(A) and P(B)","Subtract P(A) from P(B)","Divide P(A) by P(B)",20,1,,,,,,,,,,,,,,,,,,
23,"For A = odd {1,3,5} and B = prime {2,3,5} on a die, the intersection is:","The set {3, 5} with 2 outcomes","The set {1, 2, 3, 5} with 4 outcomes","The empty set with 0 outcomes","The set {1, 3, 5, 2} with 4 outcomes",20,1,,,,,,,,,,,,,,,,,,
24,"P(odd OR prime) on a die equals:","3/6 + 3/6 - 2/6 = 4/6","3/6 + 3/6 = 6/6 = 1","3/6 times 3/6 = 9/36","3/6 - 3/6 = 0",20,1,,,,,,,,,,,,,,,,,,
25,"If P(E) = 0.4, P(F) = 0.6, P(E|F) = 0.25, find P(E and F):","P(F) times P(E|F) = 0.6 times 0.25 = 0.15","P(E) times P(F) = 0.4 times 0.6 = 0.24","P(E) plus P(F) = 0.4 plus 0.6 = 1.0","P(E|F) = 0.25",20,1,,,,,,,,,,,,,,,,,,
26,"With P(E and F) = 0.15, P(E or F) equals:","0.4 + 0.6 - 0.15 = 0.85","0.4 + 0.6 = 1.0","0.4 times 0.6 = 0.24","0.4 + 0.6 + 0.15 = 1.15",20,1,,,,,,,,,,,,,,,,,,
27,"Events are MUTUALLY EXCLUSIVE if:","They cannot occur at the same time - P(A and B) = 0","Knowing one doesn't change probability of other","They always occur together","They have equal probabilities",20,1,,,,,,,,,,,,,,,,,,
28,"If A and B are mutually exclusive, then P(A and B) equals:","Zero - they cannot both happen","P(A) times P(B)","P(A) plus P(B)","One - one must happen",20,1,,,,,,,,,,,,,,,,,,
29,"For mutually exclusive events, the addition rule simplifies to:","P(A or B) = P(A) + P(B)","P(A or B) = P(A) times P(B)","P(A or B) = P(A) - P(B)","P(A or B) = 1 - P(A) - P(B)",20,1,,,,,,,,,,,,,,,,,,
30,"Freeze Time and Super Strength are mutually exclusive because:","A student can only choose one superpower, not both","The probabilities are very different","They are independent events","They have the same probability",20,1,,,,,,,,,,,,,,,,,,
31,"Can events be BOTH independent AND mutually exclusive (with P > 0)?","No - independence requires P(A and B) > 0, but mutually exclusive means P(A and B) = 0","Yes - they are the same concept","Yes - if probabilities are equal","Only if both probabilities equal 0.5",20,1,,,,,,,,,,,,,,,,,,
32,"Independent events with non-zero probabilities have P(A and B) equal to:","P(A) times P(B) which is greater than zero","Zero since they don't affect each other","One since they can both occur","P(A) plus P(B)",20,1,,,,,,,,,,,,,,,,,,
33,"'An adult is selected at random' means selecting from:","The entire sample of all adults","Only adults meeting a specific condition","Adults who answered a certain way","A subset of the population",20,1,,,,,,,,,,,,,,,,,,
34,"'An adult who is a college grad is selected' means selecting from:","Only the college graduates - a conditional selection","All adults in the sample","Adults who are not college graduates","A random subset of adults",20,1,,,,,,,,,,,,,,,,,,
35,"The phrase 'given that' or selecting from a specific group indicates:","Conditional probability - restrict to that group","Unconditional probability - use entire sample","Multiplication rule applies","Addition rule applies",20,1,,,,,,,,,,,,,,,,,,
36,"P(internet | college grad) is found by looking at:","Only the college graduate row/column","The entire table","Only the internet column","The total sample size",20,1,,,,,,,,,,,,,,,,,,
37,"If P(B|A) does NOT equal P(B), the events are:","Not independent - knowing A changes probability of B","Independent - the values are probabilities","Mutually exclusive - they don't overlap","Complementary - they add to one",20,1,,,,,,,,,,,,,,,,,,
38,"To show events are NOT independent, demonstrate that:","P(A|B) is not equal to P(A) OR P(A and B) is not equal to P(A) times P(B)","P(A) plus P(B) equals one","P(A and B) equals zero","P(A) equals P(B)",20,1,,,,,,,,,,,,,,,,,,
39,"The general multiplication rule P(A and B) = P(A) times P(B|A) works for:","ALL events - whether independent or not","Only independent events","Only mutually exclusive events","Only complementary events",20,1,,,,,,,,,,,,,,,,,,
40,"The simplified rule P(A and B) = P(A) times P(B) works for:","Only independent events","All events","Only mutually exclusive events","Only conditional events",20,2,,,,,,,,,,,,,,,,,,
41,"In a two-way table, P(A and B) is found in:","The cell where row A and column B intersect","The row total for A","The column total for B","The grand total",20,1,,,,,,,,,,,,,,,,,,
42,"In a two-way table, P(A) is found by:","Dividing the row total for A by the grand total","Looking at a single cell","Adding all cells in column A","Subtracting B from the total",20,1,,,,,,,,,,,,,,,,,,
43,"P(A|B) from a two-way table uses:","The cell (A and B) divided by the column total for B","The cell divided by the grand total","The row total divided by column total","The grand total divided by the cell",20,1,,,,,,,,,,,,,,,,,,
44,"If 245 college grads get internet news out of 693 total college grads, P(internet|college) is:","245/693 = 0.354","245/2500 (if 2500 is grand total)","693/2500","693/245",20,1,,,,,,,,,,,,,,,,,,
45,"For independence, we compare P(internet|college) = 0.354 to:","P(internet) overall - if equal, independent","P(college) overall","P(internet AND college)","One minus P(internet)",20,1,,,,,,,,,,,,,,,,,,
46,"If P(internet|college) = 0.354 but P(internet) = 0.275, the events are:","Not independent - conditional differs from unconditional","Independent - both are valid probabilities","Mutually exclusive - they are different","Complementary - close to adding to one",20,1,,,,,,,,,,,,,,,,,,
47,"The complement rule states P(not A) equals:","1 - P(A)","P(A) - 1","P(A) times P(A)","P(A) + P(A)",20,1,,,,,,,,,,,,,,,,,,
48,"P(at least one) is easiest to calculate using:","1 - P(none) using the complement","Adding up all individual probabilities","Multiplying all probabilities together","The conditional probability formula",20,1,,,,,,,,,,,,,,,,,,
49,"If P(not red) = 0.6 per draw, P(no red in 10 draws) equals:","(0.6)^10 = 0.006","10 times 0.6 = 6.0","0.6/10 = 0.06","1 - 0.6 = 0.4",20,1,,,,,,,,,,,,,,,,,,
50,"P(at least one red in 10 draws) = 1 - (0.6)^10 equals approximately:","0.994","0.006","0.600","0.400",20,1,,,,,,,,,,,,,,,,,,
51,"Which formula is used for 'A or B' problems?","Addition Rule: P(A) + P(B) - P(A and B)","Multiplication Rule: P(A) times P(B)","Complement Rule: 1 - P(A)","Conditional Rule: P(A and B) / P(B)",20,1,,,,,,,,,,,,,,,,,,
52,"Which formula is used for 'A and B' with independent events?","Multiplication Rule: P(A) times P(B)","Addition Rule: P(A) + P(B)","Complement Rule: 1 - P(A)","Conditional Rule: P(A|B)",20,1,,,,,,,,,,,,,,,,,,
53,"The word 'or' in probability usually means:","A or B or both - inclusive or","A or B but not both - exclusive or","Only A happens","Only B happens",20,1,,,,,,,,,,,,,,,,,,
54,"The word 'and' in probability means:","Both events occur together - intersection","Either event occurs - union","Neither event occurs","Exactly one event occurs",20,1,,,,,,,,,,,,,,,,,,
55,"A Venn diagram's overlapping region represents:","The intersection - outcomes in both A and B","The union - outcomes in A or B","The complement - outcomes in neither","Independent events only",20,1,,,,,,,,,,,,,,,,,,
56,"The entire shaded area of both circles in a Venn diagram represents:","The union - all outcomes in A or B or both","The intersection only","The complement of both events","Neither event occurring",20,1,,,,,,,,,,,,,,,,,,
57,"If P(A) = 0.3, P(B) = 0.5, P(A and B) = 0.15, are they independent?","Yes - 0.3 times 0.5 = 0.15 equals P(A and B)","No - the probabilities are different","Yes - both are less than one","No - they can occur together",20,1,,,,,,,,,,,,,,,,,,
58,"With P(A) = 0.3, P(B) = 0.5, P(A and B) = 0.15, find P(A or B):","0.3 + 0.5 - 0.15 = 0.65","0.3 + 0.5 = 0.80","0.3 times 0.5 = 0.15","1 - 0.15 = 0.85",20,1,,,,,,,,,,,,,,,,,,
59,"When checking independence, if P(A) times P(B) equals P(A and B), events are:","Independent - the product rule holds","Dependent - the values match by coincidence","Mutually exclusive - no overlap","Complementary - they add to one",20,1,,,,,,,,,,,,,,,,,,
60,"The key difference between independent and mutually exclusive is:","Independent events CAN occur together; mutually exclusive CANNOT","They are the same concept with different names","Independent means equal probabilities","Mutually exclusive means dependent events",20,1,,,,,,,,,,,,,,,,,,
