"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
10,"When interpreting a confidence interval, you should NOT interpret the confidence level unless:","The problem specifically asks you to explain what the stated confidence level means in context","The confidence level that was used is anything lower than 95% confidence for the procedure","The sample size is smaller than 30 observations, which makes the margin of error unreliable","The 10% condition was not satisfied, which requires adjusting the confidence level reported",25,1,,,,,,,,,,,,,,,,,,
11,"Students who attempt to interpret the confidence level without being asked often:","Make errors that lose points, because the confidence level interpretation is frequently stated wrong","Earn extra credit, because interpreting the level shows a deeper understanding of the concept","Are penalized only if the interpretation is technically correct but lacking specific real context","Receive full credit regardless, because any attempt to discuss the confidence level is valued",25,1,,,,,,,,,,,,,,,,,,
12,"A confidence interval for a population proportion provides an interval of values that:","May provide sufficient evidence to support or fail to support a particular claim in context","Proves with absolute certainty whether a specific claim about the population is true or false","Replaces the need for significance testing by giving a definitive answer about any hypothesis","Estimates how many individuals in the sample have the characteristic that is being studied",25,1,,,,,,,,,,,,,,,,,,
13,"A 95% CI for a population proportion is (0.54, 0.72). Is there convincing evidence that more than half the population has this characteristic?","Yes — all values in the interval are above 0.50, so less than half is not a plausible outcome","Yes — the sample proportion of 0.63 is clearly larger than 0.50, which is enough by itself","No — the interval does not include the value 0.50 exactly, so we cannot make any conclusion","No — a 95% confidence interval is never sufficient to provide evidence for a claim like this",25,1,,,,,,,,,,,,,,,,,,
14,"A 95% CI for a population proportion is (0.43, 0.61). Is there convincing evidence of a majority?","No — the interval includes values below 0.50, so a proportion less than half is still plausible","Yes — the point estimate of 0.52 is above 0.50, which is sufficient evidence of a majority","No — confidence intervals can only estimate parameters and can never be used to evaluate claims","Yes — more than half of the values in the interval are above the 0.50 majority threshold",25,1,,,,,,,,,,,,,,,,,,
15,"To justify a claim using a confidence interval, you check whether:","All plausible values in the interval are consistent with the particular claim being evaluated","The sample proportion alone is consistent with the claim, regardless of the interval bounds","The margin of error is smaller than the difference between the claim value and the estimate","The confidence level is high enough to guarantee the claim is true for the entire population",25,1,,,,,,,,,,,,,,,,,,
16,"A CI of (0.22, 0.38) is used to evaluate the claim that the proportion is at least 0.40. The conclusion:","The interval does not support the claim because all plausible values fall below 0.40","The interval supports the claim because 0.38 is reasonably close to the value of 0.40","No conclusion can be drawn because the claimed value falls outside the calculated interval","The interval supports the claim because the lower bound of 0.22 is far enough from 0.40",25,1,,,,,,,,,,,,,,,,,,
17,"If one or more plausible values in a CI are inconsistent with a claim, then:","There is not convincing evidence for the claim based on the calculated confidence interval","The claim has been proven false and we can state definitively that the opposite is true","The confidence interval needs to be recalculated at a higher confidence level to be useful","There is convincing evidence against the claim, and we should reject it with full certainty",25,1,,,,,,,,,,,,,,,,,,
18,"A CI of (0.65, 0.81) is used to evaluate a claim that the proportion exceeds 0.60. The conclusion:","The interval supports the claim because every plausible value in the interval exceeds 0.60","The interval supports the claim because the midpoint of 0.73 is clearly greater than 0.60","The interval does not support the claim because 0.60 is not contained within the interval","The interval supports the claim because at least one of the endpoints is greater than 0.60",25,1,,,,,,,,,,,,,,,,,,
19,"Evidence from a confidence interval is 'convincing' for a claim only when:","Every single plausible value within the entire interval is consistent with the stated claim","At least half of the plausible values within the interval are consistent with the stated claim","The sample statistic used to construct the interval is consistent with the claim by itself","The confidence level used is 95% or higher, which automatically makes any evidence convincing",25,1,,,,,,,,,,,,,,,,,,
20,"A 95% CI for voter support is (0.48, 0.56). A campaign claims the candidate will win (needs > 50%). Based on the CI:","Not convincing — values like 0.48 and 0.49 are plausible, meaning less than half is possible","Convincing — the point estimate of 0.52 exceeds the 0.50 threshold needed for a majority","Not convincing — a 95% CI is never precise enough to evaluate claims about election outcomes","Convincing — the upper bound of 0.56 is well above 0.50, which supports the win claim",25,1,,,,,,,,,,,,,,,,,,
21,"A claim states that fewer than 25% of residents use public transit. A 95% CI is (0.18, 0.29). The CI:","Does not support the claim because 0.29 exceeds 0.25, making 'at least 25%' still plausible","Supports the claim because the point estimate of approximately 0.235 falls below 0.25","Does not support the claim because confidence intervals cannot be used for 'less than' claims","Supports the claim because the lower bound of 0.18 is well below the value of 0.25",25,1,,,,,,,,,,,,,,,,,,
22,"A CI of (0.71, 0.85) is evaluated against the claim that the proportion exceeds 0.75. The conclusion:","Not convincing — the value 0.71 is below 0.75, so a proportion under 0.75 is still plausible","Convincing — the midpoint of the interval exceeds 0.75, which is sufficient for the claim","Convincing — 0.75 falls inside the interval, which means the claim is supported by the data","Not convincing — the upper bound would need to exceed 0.90 for this claim to be supported",25,1,,,,,,,,,,,,,,,,,,
23,"The relationship between the width of a confidence interval and the margin of error is:","The width of the interval is exactly twice the margin of error for any confidence interval","The width of the interval is exactly equal to the margin of error for any confidence interval","The width of the interval is exactly half of the margin of error for any confidence interval","The width of the interval is the margin of error squared, divided by the sample size n",25,1,,,,,,,,,,,,,,,,,,
24,"When all other factors remain the same, increasing the sample size will:","Decrease the width of the confidence interval by reducing the standard error of p-hat","Increase the width of the confidence interval by introducing more variation from the data","Have no effect on the width because the width depends only on the chosen confidence level","Decrease the confidence level, which is what actually causes the interval to become narrower",25,1,,,,,,,,,,,,,,,,,,
25,"When all other factors remain the same, increasing the confidence level from 90% to 99% will:","Increase the width of the interval because a larger critical value z-star is required","Decrease the width of the interval because higher confidence means greater overall precision","Have no effect on the interval width since width depends only on the chosen sample size","Increase the standard error of p-hat, which independently increases the margin of error",25,1,,,,,,,,,,,,,,,,,,
26,"For a population proportion, the width of the CI is proportional to 1/√n. This means:","Larger samples produce narrower intervals, but with diminishing returns as n increases","Larger samples produce narrower intervals at a constant rate as the sample size grows","Smaller samples produce narrower intervals, because less data means less uncertainty","The sample size has no meaningful impact on the width of the confidence interval",25,1,,,,,,,,,,,,,,,,,,
27,"To cut the margin of error in half while keeping the confidence level the same, you must:","Quadruple the sample size, because the margin of error is proportional to one over root n","Double the sample size, because the margin of error decreases at a constant linear rate","Cut the sample size in half, because a smaller sample produces less overall variability","Multiply the sample size by eight, because the margin of error involves a cubed root of n",25,1,,,,,,,,,,,,,,,,,,
28,"A 90% CI computed from the same data will be _____ compared to a 95% CI:","Narrower — the critical value for 90% confidence is smaller, producing a smaller margin of error","Wider — 90% confidence requires capturing more of the distribution to reach the stated level","The same width — both intervals use the same sample data and have the same standard error","Narrower — the standard error decreases automatically when a lower confidence level is used",25,1,,,,,,,,,,,,,,,,,,
29,"Which combination of changes would produce the narrowest confidence interval for a proportion?","Increasing the sample size while simultaneously decreasing the confidence level used","Decreasing the sample size while simultaneously increasing the confidence level used","Increasing both the sample size and the confidence level at the same time for the procedure","Decreasing both the sample size and the confidence level at the same time for the procedure",25,1,,,,,,,,,,,,,,,,,,
30,"A researcher has a 95% CI with margin of error 0.06. She wants ME ≤ 0.03 at the same confidence. She should:","Quadruple the sample size, since halving the margin of error requires multiplying n by four","Double the sample size, since cutting the margin of error in half requires doubling n","Lower the confidence level to 47.5%, which is exactly half of the current 95% level","Keep the same sample size and use a different formula to reduce the margin of error",25,1,,,,,,,,,,,,,,,,,,
31,"Why does increasing the confidence level increase the margin of error for a confidence interval?","A higher confidence level uses a larger critical value z-star, which multiplies the standard error","A higher confidence level changes the sample proportion, which increases the standard error","A higher confidence level requires a larger sample size, which inflates the overall calculation","A higher confidence level changes the sampling distribution from normal to a wider shape",25,1,,,,,,,,,,,,,,,,,,
32,"Researcher A uses n = 100 and Researcher B uses n = 400. Both construct 95% CIs for the same population. Comparing their intervals:","Researcher B's interval will be about half as wide, since the square root of 400/100 equals 2","Researcher B's interval will be one-quarter as wide, since 400 divided by 100 equals 4","Both intervals will have the same width since they use the same 95% confidence level","Researcher A's interval will be narrower because smaller samples introduce less variability",25,1,,,,,,,,,,,,,,,,,,
33,"If a confidence interval is too wide to be useful for making a particular decision, the best strategy is:","Collect a larger sample to reduce the standard error and narrow the confidence interval width","Switch to a higher confidence level so the resulting interval is guaranteed to be more precise","Report only the point estimate because a single value gives a more precise answer than a range","Increase the number of decimal places reported to make the interval appear narrower overall",25,1,,,,,,,,,,,,,,,,,,
34,"The 5-step process for constructing and interpreting a CI is: define the parameter, identify the procedure, verify conditions, calculate the interval, and:","Interpret the interval in context, connecting the result to the population being studied","Determine whether the result proves or disproves the null hypothesis about the parameter","Calculate the probability that the interval contains the true value of the population parameter","Explain why the sample was the best possible sample that could have been collected here",25,1,,,,,,,,,,,,,,,,,,
35,"The critical value z* for 95% confidence is 1.96. The critical value z* for 99% confidence would be:","Larger than 1.96, because capturing more of the distribution requires extending further out","Smaller than 1.96, because higher confidence implies that less of the distribution is needed","Exactly equal to 1.96, because the critical value does not depend on the confidence level","Exactly 0.99, because the critical value is always equal to the confidence level as a decimal",25,1,,,,,,,,,,,,,,,,,,
