"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
13,"If a p-value equals 0.0244 and alpha equals 0.01, the correct decision is to:","Fail to reject H0 because the p-value of 0.0244 is greater than the significance level of 0.01","Reject H0 because the p-value of 0.0244 is small enough to reject at any significance level used","Accept H0 because the p-value of 0.0244 proves that the null hypothesis is the true statement","Reject Ha because the p-value of 0.0244 does not meet the threshold to support the alternative",20,1,,,,,,,,,,,,,,,,,,
14,"Failing to reject H0 means that:","The observed data could plausibly have occurred by random chance if the null hypothesis were true","The null hypothesis has been confirmed as true and the population parameter equals the null value","No evidence whatsoever exists against the null hypothesis based on the sample that was collected","The alternative hypothesis has been disproven and the researcher should abandon their suspicion",20,1,,,,,,,,,,,,,,,,,,
15,"A conclusion in a significance test must be in context. This means the conclusion should:","Reference the specific population, parameter, and claim being investigated in the study at hand","Use the generic template without changing any words regardless of what the study is about","Include the exact formula used to calculate the test statistic and the p-value for the test","List all three conditions that were checked before performing the significance test procedure",20,1,,,,,,,,,,,,,,,,,,
16,"Which significance level would make it hardest to reject the null hypothesis?","Alpha equals 0.01 because the p-value must be very small to fall at or below this threshold","Alpha equals 0.10 because the p-value must be very small to fall at or below this threshold","Alpha equals 0.05 because the p-value must be very small to fall at or below this threshold","Alpha equals 0.50 because the p-value must be very small to fall at or below this threshold",20,1,,,,,,,,,,,,,,,,,,
17,"Which significance level would make it easiest to reject the null hypothesis?","Alpha equals 0.10 because the p-value has the widest range of values that lead to rejection","Alpha equals 0.01 because the p-value has the widest range of values that lead to rejection","Alpha equals 0.05 because the p-value has the widest range of values that lead to rejection","Alpha equals 0.001 because the p-value has the widest range of values that lead to rejection",20,1,,,,,,,,,,,,,,,,,,
18,"A student says a p-value of 0.08 means 'H0 is probably true.' This statement is:","Incorrect because the p-value measures how surprising the data are under H0, not whether H0 is true","Correct because any p-value above 0.05 provides direct evidence that the null hypothesis is true","Incorrect because the p-value of 0.08 actually proves the alternative hypothesis must be true instead","Correct because the p-value represents the probability that the null hypothesis is the true statement",20,1,,,,,,,,,,,,,,,,,,
19,"When performing a complete significance test for a proportion, the first step is to:","State the null and alternative hypotheses and clearly define the population parameter being tested","Calculate the test statistic using the sample proportion and the hypothesized null parameter value","Check the Random, 10%, and Large Counts conditions to verify the test procedure is appropriate","Choose a significance level and identify the correct procedure for testing a population proportion",20,1,,,,,,,,,,,,,,,,,,
20,"After stating hypotheses in a complete significance test, the next steps before calculations are to:","Identify the significance level, name the procedure, and verify that all conditions are satisfied","Calculate the p-value, draw the normal curve, and shade the area in the appropriate tail region","Write the conclusion, compare the p-value to alpha, and state whether you reject or fail to reject","Define the sample proportion, compute the standard deviation, and find the margin of error value",20,1,,,,,,,,,,,,,,,,,,
21,"When checking the Large Counts condition for a significance test, you should use:","The null hypothesis value p0 in the expressions np0 and n(1 - p0) to verify both are at least 10","The sample proportion p-hat in the expressions n times p-hat and n times one minus p-hat for counts","The significance level alpha in the expressions n times alpha and n times one minus alpha for counts","The p-value in the expressions n times p-value and n times one minus the p-value to check the counts",20,1,,,,,,,,,,,,,,,,,,
22,"The conclusion of a significance test should NOT include:","A statement that the null hypothesis has been proven or accepted as the true parameter value","An explicit comparison of the p-value to the chosen significance level alpha for the test","A statement about whether or not there is convincing statistical evidence for the alternative","A reference to the specific context of the study including the population and parameter of interest",20,1,,,,,,,,,,,,,,,,,,
23,"A test yields a p-value of 0.047. A student uses alpha = 0.05. Another student uses alpha = 0.01. Which is true?","The first student rejects H0 while the second student fails to reject H0 for the same data set","Both students reject H0 because the p-value of 0.047 is small enough at either significance level","Both students fail to reject H0 because the p-value of 0.047 rounds up to 0.05 at both levels","The first student fails to reject H0 while the second student rejects H0 for the same data set",20,1,,,,,,,,,,,,,,,,,,
24,"In a significance test conclusion, the phrase 'convincing statistical evidence' refers to evidence for:","The alternative hypothesis, which is the claim the test is trying to find support for in the data","The null hypothesis, which is the default assumption that the test is trying to confirm is correct","The test statistic, which is the numerical measure of how extreme the sample result turned out to be","The sample size, which determines how much statistical power the test has to detect a difference",20,1,,,,,,,,,,,,,,,,,,
25,"A researcher gets a p-value of 0.52. This means the observed result is:","Quite plausible under H0, so the data do not provide convincing evidence against the null hypothesis","Impossible under H0, so the data clearly demonstrate that the null hypothesis must be incorrect","Exactly at the boundary, so the researcher needs to collect additional data before making a decision","Proof that H0 is true, so the researcher should report that the null hypothesis has been confirmed",20,1,,,,,,,,,,,,,,,,,,
26,"Which conclusion correctly uses the template for rejecting H0?","Because the p-value of 0.02 is less than alpha of 0.05, we reject H0 and find convincing evidence","Because the p-value of 0.02 is less than alpha of 0.05, we accept Ha and prove the claim is true","Because the p-value of 0.02 is small, we accept the alternative and disprove the null hypothesis","Because the test statistic is large, we reject H0 without needing to compare p-value to alpha",20,1,,,,,,,,,,,,,,,,,,
27,"A student forgets to compare the p-value to alpha and just writes 'We reject H0.' This conclusion is:","Incomplete because it lacks the justification showing why the decision to reject was appropriate","Correct because stating the decision is the only required component of a significance test conclusion","Incorrect because you should always write 'accept Ha' rather than 'reject H0' in the conclusion","Complete as long as the student included the hypotheses and conditions earlier in the test solution",20,1,,,,,,,,,,,,,,,,,,
28,"The same data set can lead to different conclusions if:","Different significance levels are chosen, because the boundary for what counts as 'small' p-value changes","Different sample sizes are used, because the sample size determines the conclusion of every test","Different null hypotheses are tested, because the null value has no effect on the final p-value","Different parameters are defined, because the parameter definition changes the value of the p-value",20,1,,,,,,,,,,,,,,,,,,
29,"Which statement about significance levels is correct?","The significance level is chosen before collecting data and determines the rejection boundary used","The significance level is calculated from the data and equals the probability that H0 is true","The significance level must always be 0.05 and cannot be changed regardless of the research context","The significance level is the same as the p-value and both measure the strength of the evidence",20,1,,,,,,,,,,,,,,,,,,
30,"A student claims that rejecting H0 means the alternative hypothesis is definitely true. This is:","Wrong because rejecting H0 means we have convincing evidence for Ha, not absolute proof of it","Correct because rejecting H0 is the statistical way of saying Ha has been proven beyond all doubt","Wrong because rejecting H0 means we should accept the null hypothesis as the correct conclusion","Correct but only when the p-value is extremely small, such as less than 0.001 for the test result",20,1,,,,,,,,,,,,,,,,,,
31,"In the conclusion template, the phrase 'fail to reject H0' is preferred over 'accept H0' because:","Not having enough evidence against H0 is different from having evidence that H0 is actually true","The two phrases mean exactly the same thing but 'fail to reject' sounds more professional overall","Accepting H0 is reserved for situations where the p-value is exactly equal to one point zero zero","Failing to reject is only used when the p-value is between the significance level and one point zero",20,1,,,,,,,,,,,,,,,,,,
32,"When no significance level is stated in a problem, a student should:","Choose a significance level such as alpha equals 0.05 and explicitly state it before making a conclusion","Skip the comparison step and simply describe whether the p-value seems large or small informally","Use alpha equals zero so that no null hypothesis can ever be rejected regardless of the p-value","Report that no conclusion can be drawn because a significance level is required by the test procedure",20,1,,,,,,,,,,,,,,,,,,
33,"A p-value of 0.1357 with alpha = 0.05 leads to failing to reject H0. This means the data:","Could plausibly have occurred by chance under H0, so the evidence for Ha is not convincing enough","Prove that H0 is true and the population parameter is exactly equal to the hypothesized null value","Contain no evidence at all that the alternative hypothesis might be true for this population studied","Are flawed and the study should be repeated with a larger sample to obtain a more significant result",20,1,,,,,,,,,,,,,,,,,,
34,"Which of the following is a valid reason to reject H0 in a significance test?","The p-value is less than or equal to the predetermined significance level alpha for the given test","The sample proportion is different from the null hypothesis value by any amount no matter how small","The test statistic is a positive number, indicating the sample result is above the null value stated","The sample size is larger than 30, which guarantees that the sampling distribution will be normal",20,1,,,,,,,,,,,,,,,,,,
35,"A complete significance test for a population proportion includes all of the following EXCEPT:","A proof that the alternative hypothesis is definitely true based on the calculated test results","A statement of the null and alternative hypotheses with a clear definition of the parameter","A verification that the Random, 10%, and Large Counts conditions have all been properly satisfied","A conclusion that explicitly compares the p-value to alpha and states the decision in context",20,1,,,,,,,,,,,,,,,,,,
