"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
18,"What is a common mistake when checking chi-square conditions?","Using observed counts instead of expected counts","Using one variable instead of two variables","Using percentages instead of row labels","Using totals instead of category names",20,1,,,,,,,,,,,,,,,,,,
19,"If the smallest expected count is greater than 5 what follows?","The observed counts must also be equal","The independence condition would be false","Every sample proportion is automatically equal","Every expected count is greater than 5",20,4,,,,,,,,,,,,,,,,,,
20,"Why can expected counts be used to check shape?","They show whether the sampling model is chi-square like","They show whether the categories are ordered correctly","They show whether the samples came from one year","They show whether the variables are quantitative",20,1,,,,,,,,,,,,,,,,,,
21,"Which description best matches a test for homogeneity?","Comparing one sample mean to a target value","Comparing one categorical distribution across groups","Relating one quantitative pair with a line","Estimating one population proportion from a sample",20,2,,,,,,,,,,,,,,,,,,
22,"Which description best matches a test for independence?","Estimating a population mean from one random sample","Comparing one categorical distribution across groups","Comparing two quantitative variables with a t test","Determining whether two categorical variables are related",20,4,,,,,,,,,,,,,,,,,,
23,"How are homogeneity and independence alike?","Both use a chi-square test with a two-way table","Both compare means from separate random samples","Both need quantitative data in every category","Both use matched pairs to control variation",20,1,,,,,,,,,,,,,,,,,,
24,"How are homogeneity and independence different?","They use different statistics for the test","They differ by how the data were collected","They differ by whether counts can be decimal","They differ by whether the null has two sides",20,2,,,,,,,,,,,,,,,,,,
25,"Which statement about the null is most appropriate?","It claims a difference or an association exists","It claims no difference or no association exists","It claims every category must have equal counts","It claims the sample design cannot affect the test",20,2,,,,,,,,,,,,,,,,,,
26,"Which statement about the alternative is most appropriate?","It claims no difference or no association exists","It claims the expected counts are all identical","It claims there is a difference or association","It claims the sample size exceeds ten percent",20,3,,,,,,,,,,,,,,,,,,
27,"Why is same row totals not a chi-square condition?","Because totals are used only in quantitative studies","Because totals can be checked only with technology","Because totals matter only after the test is done","Because conditions focus on design and expected counts",20,4,,,,,,,,,,,,,,,,,,
28,"Which study setup signals homogeneity instead of independence?","One sample measures major and job status","One sample measures grade and lunch choice","Separate samples compare school types by year","Separate variables are recorded for each adult",20,3,,,,,,,,,,,,,,,,,,
29,"Why can a randomized experiment justify a homogeneity test?","It creates groups for comparing categorical distributions","It guarantees all expected counts exceed the cutoff","It turns two categorical variables into one variable","It removes the need for independent observations",20,1,,,,,,,,,,,,,,,,,,
30,"If the goal is to compare category distributions across treatments which test fits?","Chi-square test for independence","Two sample t test for a mean","Chi-square test for homogeneity","One sample z test for a proportion",20,3,,,,,,,,,,,,,,,,,,
