"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
16,"An 'inverse normal' problem is different from a regular normal problem because:","You're given the probability/area and asked to find the value","You use a different formula for the z-score","The distribution is skewed instead of symmetric","You work with proportions instead of means",25,1,,,,,,,,,,,,,,,,,,
17,"A teacher says the bottom 10% of test scores will receive extra tutoring. If scores are N(75, 8), an inverse normal problem would find:","The test score that separates the bottom 10% from the rest","The probability of scoring below 75","The z-score of a student who scored 83","The number of students in the bottom 10%",25,1,,,,,,,,,,,,,,,,,,
18,"Machine A produces bolts with mean length 5.0 cm (σ = 0.2). Machine B produces bolts with mean length 5.0 cm (σ = 0.1). Which statement is TRUE?","Machine B is more consistent — its bolts vary less from the target","Machine A is more consistent — larger σ means more precision","Both machines are equally consistent since they have the same mean","We cannot compare consistency without knowing the distributions",25,1,,,,,,,,,,,,,,,,,,
19,"Female race times: μ = 81 min, σ_F = 15. Male race times: μ = 70 min, σ_M = 14. The standard deviation of (Female − Male) times is:","√(15² + 14²) ≈ 20.5 — you must ADD variances, not subtract SDs","15 − 14 = 1 minute","15 + 14 = 29 minutes","√(15² − 14²) ≈ 5.4 — subtract variances for differences",25,1,,,,,,,,,,,,,,,,,,
20,"Why can't you simply subtract standard deviations when finding the SD of a difference?","Variability in BOTH variables contributes to the total spread — it always increases","Because standard deviations are always negative numbers","Because subtraction only works with means, not any other statistic","You actually CAN subtract standard deviations — this is a trick question",25,1,,,,,,,,,,,,,,,,,,
21,"The standard deviation formula for BOTH (X + Y) AND (X − Y) involves ADDING variances. Why does a difference also ADD variability?","Whether combining or separating, uncertainty from both sources increases the total spread","This is just a mathematical coincidence with no intuitive explanation","It only adds variances when the variables are dependent","Subtracting actually decreases variability, but we add for safety",25,1,,,,,,,,,,,,,,,,,,
22,"If X and Y are independent and both approximately normal, then X − Y is:","Also approximately normal","Skewed to the right","Uniformly distributed","Not predictable without more information",20,1,,,,,,,,,,,,,,,,,,
23,"X has mean 100 and Y has mean 40. What is the mean of X − Y?","60","140","Cannot determine without standard deviations","Depends on the sample size",20,1,,,,,,,,,,,,,,,,,,
24,"Female times: μ_F = 81, Male times: μ_M = 70. If a female finishes FASTER than a male, the value (F − M) is:","Negative — her lower time minus his higher time gives a negative result","Positive — faster always means a bigger number","Zero — they finished at the same time","Cannot be determined without the actual times",25,1,,,,,,,,,,,,,,,,,,
25,"A binomial distribution with n = 10 and p = 0.14 is clearly skewed right. This means:","A normal distribution would NOT be a good approximation","The mean equals 10 × 0.14 = 1.4 and that's the most likely outcome","We should use n = 10 anyway since all binomials are approximately normal","The distribution is invalid and we need to collect more data",25,1,,,,,,,,,,,,,,,,,,
26,"The SAME binomial situation (p = 0.14) with n = 75 produces a distribution that passes the empirical rule. This shows that:","Larger sample sizes make the normal approximation more appropriate","The probability p changed when we increased n","Normal distributions only work with large populations","The binomial distribution becomes exact when n is large",25,1,,,,,,,,,,,,,,,,,,
27,"To check if a distribution is approximately normal, you should verify that it is:","Unimodal, roughly symmetric, and bell-shaped","Skewed right with a long tail","Bimodal with two clear peaks","Uniform with equal probabilities everywhere",20,1,,,,,,,,,,,,,,,,,,
28,"Beyond checking shape, what additional test can confirm approximate normality?","Check if the data roughly follows the 68-95-99.7 (empirical) rule","Verify that the mean equals the median exactly","Confirm that all values are positive","Check that the range is less than 6 standard deviations",25,1,,,,,,,,,,,,,,,,,,
29,"A student says: 'I took a sample of 30 people and the mean was 72, so the population mean must be 72.' What's wrong with this reasoning?","Sampling variability means any single sample mean may differ from the population mean","Nothing — 30 is a large enough sample to know the population mean exactly","The problem is that 30 is too small; they need at least 100","The student should have used the median instead of the mean",25,1,,,,,,,,,,,,,,,,,,
30,"P(Z > 1.0) ≈ 0.16. This means that in a normal distribution, approximately what percent of values are more than 1 SD above the mean?","16%","84%","34%","50%",20,1,,,,,,,,,,,,,,,,,,
31,"If package weights are N(16 oz, 0.5 oz), a package weighing 17.0 oz has a z-score of:","2.0 — it's 2 standard deviations above the mean","1.0 — it's 1 ounce above the mean","0.5 — it's half a standard deviation above","17.0 — the z-score equals the raw value",20,1,,,,,,,,,,,,,,,,,,
32,"A student uses normalcdf(10, 1E99, 12, 2) on their calculator but doesn't explain the inputs. On the AP exam, this would:","Lose credit — you must identify the distribution, parameters, and direction","Receive full credit — calculator syntax is sufficient","Receive partial credit — the answer is all that matters","Be marked wrong because calculators aren't allowed",25,1,,,,,,,,,,,,,,,,,,
33,"Two independent groups have normally distributed scores. Group 1: μ₁ = 80, σ₁ = 5. Group 2: μ₂ = 75, σ₂ = 4. The SD of the difference (Group 1 − Group 2) is:","√(25 + 16) = √41 ≈ 6.4","5 − 4 = 1","5 + 4 = 9","√(25 − 16) = 3",25,1,,,,,,,,,,,,,,,,,,
34,"Why do sample statistics from the SAME population still vary?","Random sampling means each sample contains different individuals by chance","The population secretly changes each time we sample","Researchers always introduce bias into their sampling","Measurement tools become less accurate with repeated use",25,1,,,,,,,,,,,,,,,,,,
35,"A distribution is unimodal and roughly symmetric, but checking the empirical rule shows only 55% within 1 SD. Is it approximately normal?","No — a normal distribution should have about 68% within 1 SD, not 55%","Yes — being unimodal and symmetric is sufficient for normality","Yes — the 68% rule is just a rough guideline, not a requirement","Cannot determine without knowing the sample size",25,1,,,,,,,,,,,,,,,,,,
