feature_id	area	feature	role	user_story	expected_behavior	code_evidence	test_evidence	test_status	observed_errors	fix_status	retest_status	last_checked
F013	Desk roadmap	Lesson gate and unlocks	Student/teacher	As a student, I want locked lessons to stay locked until unlocked, and as a teacher I want overrides to open or revoke lessons.	The Desk dims locked lesson cells; server supports teacher lesson unlock, revoke, student unlock list, and teacher per-student unlock list; UI includes inline gate override actions.	ap_stats_roadmap_square_mode.html; roster-server/lesson-unlock.js; teacher-dashboard.html; teacher-classroom.html	tests/desk-lesson-gate.test.js; tests/desk-lesson-unlock.test.js; roster-server/tests/lesson-unlock-endpoints.test.js; roster-server/tests/lesson-unlock-revoke.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F014	Desk work loop	Do Now card	Student	As a student, I want the Desk to highlight the next do-now item so I know what to do at the start of class.	/donow computes current completion structure from ledger and work manifest; Desk Do Now card renders current task, speedbump/ledger states, coloring, and app icon attention state.	roster-server/donow.js; ap_stats_roadmap_square_mode.html	tests/desk-donow-card.test.js; tests/desk-donow-coloring.test.js; tests/desk-donow-ledger.test.js; tests/desk-donow-speedbump.test.js; roster-server/tests/donow.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F015	Desk work loop	Completion gate	Student	As a student, I want completion buttons to record only valid work and tell me when criteria are not met.	The Desk uses manifest criteria and gradebook client writes to control Done buttons, show locked/disabled states, and avoid silently treating incomplete work as completed.	ap_stats_roadmap_square_mode.html; gradebook-client.js; data/work-manifest.json	tests/desk-completion-gate.test.js; tests/worksheet-completion-tracker.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F016	Worksheets	Persistent answers and hydration	Student/teacher	As a student, I want prior worksheet answers to reappear, and as a teacher viewing as a student I want read-only prior answers for that student.	gradebookClient.fetchPrior validates a strict prefix, sends token in Authorization, supports __VIEW_AS_STUDENT_ID__ for teacher view-as, and returns a newest-first deduped Map without throwing.	gradebook-client.js; roster-server/ledger.js	tests/worksheet-hydration.test.js; tests/worksheet-viewas-module.test.js; tests/worksheet-identity-clean.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F017	Worksheets	Gradebook recording client	Student	As a student, I want worksheet and quiz work to save to the ledger without blocking my work.	gradebookClient.record validates source/itemId/response, reads identity at call time, no-ops with visible no-identity nudge, posts /ledger/record, captures signed receipts, maps auth/server/network errors, and never throws.	gradebook-client.js; roster-server/ledger.js	tests/gradebook-client.test.js; tests/ai-worksheet-grade.test.js; roster-server/tests/ledger.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F018	Worksheets	Sign-in wall and guest handling	Student	As a student, I want worksheets to guide me to sign in while still preventing lost work when identity is missing.	Worksheet sign-in wall and gradebook client no-identity alert protect saved work; guest flows can be reconciled later.	gradebook-client.js; roster-client.js; teacher-guest-reconcile.html	tests/worksheet-signin-wall.test.js; tests/desk-guest-chat.test.js; tests/desk-roster-signin.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F019	Student grades	My Gradebook	Student	As a student, I want to see my gradebook by quarter and category so I understand current standing.	The Desk opens My Gradebook, fetches class gradebook/grade data, chooses first gradebook quarter, renders categories and cells with keyboard handling and close behavior.	ap_stats_roadmap_square_mode.html; roster-server/gradebook-grid.js	tests/desk-my-gradebook.test.js; tests/gradebook-client.test.js; roster-server/tests/gradebook-grid.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F020	Student grades	Day grade modal and grade chips	Student	As a student, I want to inspect a day or lesson grade and understand what affected it.	Desk renders grade chips, day grade modal, grade outlook, why-so-low explanation, category bands, missing/due information, and close/key handling.	ap_stats_roadmap_square_mode.html; roster-server/grade.js	tests/desk-day-grade-modal.test.js; tests/desk-grade-chip.test.js; tests/desk-grade-outlook.test.js; tests/desk-why-so-low.test.js; roster-server/tests/grade.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F021	Receipts	Signed receipt history	Student	As a student, I want durable proof that grade writes happened.	gradebookClient captures signed compact receipts locally; fetchReceipts reads durable server ledger receipts; Desk wallet receipt tabs group, dedupe, and render receipt rows.	gradebook-client.js; ap_stats_roadmap_square_mode.html; roster-server/receipts.js	tests/desk-receipt-row.test.js; roster-server/tests/receipts.test.js; roster-server/tests/backfill-receipts.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F022	Wallet	Wallet balances and history	Student	As a student, I want a wallet view showing spendable balances, receipts, and transaction history.	Wallet render fetches wallet and receipts, paints grouped receipts, balances, wallet chain, and loading states; server exposes wallet and wallet chain endpoints.	ap_stats_roadmap_square_mode.html; js/wallet_logic.js; roster-server/doge-wallet.js	tests/desk-doge-wallet.test.js; tests/desk-wallet-render.test.js; tests/wallet-logic.test.js; roster-server/tests/doge-wallet.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F023	Wallet	Doge economy actions	Student/teacher	As a student, I want wallet actions like buy, sell, eat, gift, mark sent/given, and casino bets to follow conservation rules.	Server wallet routes implement eat, buy-doge, sell-doge, gift, bet open/resolve, address, class wallets, chain, and conservation checks; client wallet logic renders states.	roster-server/doge-wallet.js; roster-server/doge-chain.js; js/wallet_logic.js	tests/doge-wallet-logic.test.js; tests/doge-send.test.js; roster-server/tests/wallet-conservation.test.js; roster-server/tests/wallet-stakes-routes.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F024	Wallet	Doge presence submenu	Student	As a student, I want Desk presence controls for wallet/social state without opening the full wallet.	DogePresence exposes submenu state and Desk icon interactions; tests cover presence submenu and send behavior.	ap_stats_roadmap_square_mode.html; js/wallet_logic.js	tests/doge-presence-submenu.test.js; tests/doge-send.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F025	Live Classroom	Student board presence	Student	As a student, I want to appear on the live classroom board with my name/avatar status and reconnect automatically.	ClassroomBoard.mount opens WebSocket, sends classroom_join and heartbeat, reconnects with backoff, renders sprite scene, tracks online/offline members, name map, hue, and self-click behavior.	classroom-board.js; ap_stats_roadmap_square_mode.html	tests/classroom-board.test.js; tests/classroom-board-scroll.test.js; tests/desk-level-integration.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F026	Live Classroom	Check-in gate and greenlight	Student/teacher	As a teacher, I want to arm a gate and green-light the class, and as a student I want to check in and know when to start.	ClassroomBoard exposes armGate, greenLight, reset; students get check-in button when eligible; greenlight banner can start video; teacher cockpit renders check-in summary and indicators.	classroom-board.js; teacher-classroom.html	tests/classroom-board-gate.test.js; tests/classroom-board.test.js; tests/classroom-structure.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F027	Live Classroom	Polls	Student/teacher	As a teacher, I want to open, close, reveal, and archive polls, and as a student I want one clear vote path.	Teacher cockpit manages poll options and blind mode, ClassroomBoard creates option buttons, records votes, shows columns/results, reveal state, and archives via /poll-archive.	teacher-classroom.html; classroom-board.js; roster-server/poll-archive.js	tests/poll-archive-cockpit.test.js; tests/poll-archive-desk.test.js; roster-server/tests/poll-archive.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F028	Live Classroom	Doorways	Student/teacher	As a teacher, I want doorway choices to collect class responses and archive the result.	Teacher cockpit adds/removes doorway options, opens/closes doorways, renders tally charts; ClassroomBoard renders doorways and result panels, updates counts, and supports close/archive lifecycle.	teacher-classroom.html; classroom-board.js	tests/v3-p4-doorways.test.js; tests/classroom-board.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F029	Live Classroom	Interactive activities	Student/teacher	As a teacher, I want to run shared classroom activities and as students we want responsive controls and visual feedback.	Teacher cockpit starts/cancels activities, manual advance, hint, retry; ClassroomBoard syncs coins, keys, gates, tally, choice pads, chutes, context slots, goal pad, stage indicator, shared camera, and activity value sends.	teacher-classroom.html; classroom-board.js; activity-*.js	tests/classroom-board-activity.test.js; tests/activity-colorbox.test.js; tests/activity-level.test.js; tests/classroom-board-shared-camera.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F030	Live Classroom	Student keyboard avatar controls	Student	As a student, I want keyboard movement to control my classroom avatar without interfering with forms or modals.	ClassroomBoard maps arrow/WASD/space to player input, skips when inputs or modals are focused, supports jump/gravity/position broadcasts, and exposes selfEmote.	classroom-board.js	tests/desk-activity-kbd.test.js; tests/desk-self-emote.test.js; tests/classroom-board-level.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F031	Live Classroom	Cockpit live monitor and WebRTC	Teacher	As a teacher, I want to go live, monitor class presence, and handle real-time signaling cleanly.	Teacher cockpit Go Live/Exit Live sends live start/stop, opens monitor WebSocket, reconciles peers, handles RTC offer/answer/ICE over classroom signaling, and tears down peers.	teacher-classroom.html; classroom-board.js	tests/v3-p3-webrtc.test.js; tests/classroom-structure.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F032	Live Classroom	Teacher nudge and avatar popup	Teacher/student	As a teacher, I want to select students or click avatars to send nudges, view grade/recent work, apply remediation, or override gates.	Teacher cockpit select mode tracks recipients and sends nudges; avatar popup routes actions to view-as, grade, recent, nudge, remediation, and gate forms with inline status.	teacher-classroom.html; roster-server/nudge.js	tests/cockpit-select-students.test.js; tests/cockpit-nudge-panel.test.js; tests/avatar-popup-cockpit.test.js; tests/broadcast-nudge-cockpit.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F033	Student messaging	Nudges and replies	Student/teacher	As a student, I want to receive teacher nudges and reply, and as a teacher I want history/acks.	Server nudge routes support teacher send/history, student send/history, guest history, and student replies; Desk and cockpit render toasts, stacks, history, acks, and persistent chat.	roster-server/nudge.js; ap_stats_roadmap_square_mode.html; teacher-dashboard.html; teacher-classroom.html	tests/desk-nudge-toast.test.js; tests/nudge-toast-stack.test.js; tests/desk-student-dm.test.js; roster-server/tests/student-dm.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F034	Study tools	AI tutor prompt copy	Student	As a student, I want lesson-specific AI tutor prompts copied from the Desk so outside tutors stay aligned to AP Stats content.	wsx.js builds AI tutor lesson keys, fetches prompt files by unit/lesson/progress check, copies text to clipboard, and reports status.	ap_stats_roadmap_square_mode.html; ai-tutor/*	tests/remaining-feature-contracts.test.js (6/6)	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.	None found in focused remaining-feature contract test.	No code fix required; behavior pinned by automated coverage.	Passed focused retest and full root suite post-fix.	2026-06-22
F035	Study tools	Blooket flashcards	Student/teacher	As a student, I want Blooket-style practice and flashcards tied to lessons, and as a teacher I want imports/backfills to work.	Desk exposes Blooket practice; server /class/blooket and /class/backfill-receipts ingest and reconcile blooket items; import script converts CSV templates.	ap_stats_roadmap_square_mode.html; roster-server/class.js; scripts/import-blooket.mjs	tests/desk-blooket-flashcards.test.js; tests/import-blooket.test.js; roster-server/tests/blooket.test.js; roster-server/tests/blooket-endpoint.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F036	Study tools	Diagnostic study guide	Student	As a student, I want an adaptive study guide that finds weak skills and guides practice.	Study guide runtime uses skill map, DAG topology, FRQ bank/decompositions, diagnostic/ladder/gating flows, and tests for v4-v7 behavior.	study_guide_diagnostic.html; data/skill-map*.json; data/dag-topology.js; lib/study-guide-runtime.test.js	tests/study-guide.test.js; tests/study-guide-v4-logic.test.js; tests/study-guide-v7-gating.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F037	Study tools	Study break/game app	Student	As a student, I want a lightweight study break/game surface that preserves Desk behavior and state.	wsx.js exposes studyBreak open/close/destroy, renders login/main/tabs, fetches driller/quiz data, tracks usage, and supports app icon game presence states.	ap_stats_roadmap_square_mode.html	tests/study-break-hardening.test.js; tests/study-break-stakes.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F038	TI-84 Trainer	Procedure route practice	Student	As a student, I want guided and recall TI-84 procedure practice with realistic screens and keypad actions.	The trainer loads procedure/pattern/state-machine data, renders calculator screen/keypad, supports route queue/library, guided/recall modes, hints, restarts, next route, unit filter, feedback, and progress meter.	ti84-trainer-v2/index.html; ti84-trainer-v2/app.js; ti84-trainer-v2/native/*.js	tests/ti84-state-machine.test.js; tests/ti84-data-trust.test.js; ti84-trainer-v2/native/tests/verify-all-procedures.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F039	TI-84 Trainer	Progress import/export and server state	Student/teacher	As a student, I want trainer progress to persist and move between devices; as a teacher, I want summary/leaderboard data.	Trainer UI exports/imports progress JSON; server supports GET/PUT/PATCH /trainer/state/:deckId plus leaderboard and section summary routes.	ti84-trainer-v2/app.js; roster-server/trainer.js	tests/ti84-standalone-sync.test.js; roster-server/tests/trainer.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F040	Teacher dashboard	Class overview and grade table	Teacher	As a teacher, I want a dashboard showing class grades, completion, readiness, and errors.	teacher-dashboard.html loads /class/grades, /rollup, /gradebook data with teacher secret or roster token, renders grade rows, quarter/unit grades, completion text, and error/info banners.	teacher-dashboard.html; roster-server/class.js; roster-server/rollup.js	tests/teacher-gradebook.test.js; tests/teacher-student-console-dashboard-deeplink.test.js; roster-server/tests/class.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F041	Teacher dashboard	Gradebook grid	Teacher	As a teacher, I want a spreadsheet-like gradebook grid grouped by categories and totals.	Gradebook grid columns are grouped by category, show blank-excluded Schoology totals and v3 totals, color values, show deltas, and support row click into student drawer.	teacher-dashboard.html; roster-server/gradebook-grid.js	tests/teacher-gradebook.test.js; roster-server/tests/gradebook-grid.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F042	Teacher dashboard	Mastery heatmap and triage	Teacher	As a teacher, I want to identify weak skills and students needing intervention.	Dashboard renders heatmap tiles and triage detail rows from mastery data, with weak/total counts, skill badges, and student lists.	teacher-dashboard.html; roster-server/mastery.js	tests/teacher-student-console-remediation.test.js; roster-server/tests/mastery.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F043	Teacher dashboard	Remediation workflow	Teacher	As a teacher, I want to propose, approve, complete, or waive remediation assignments from dashboard data.	Server remediation routes propose/approve/complete/waive/list/student/unlocks/propose-from-mastery; dashboard renders statuses, action buttons, modal proposal form, and refresh flows.	teacher-dashboard.html; roster-server/remediation.js	tests/teacher-student-console-remediation.test.js; roster-server/tests/remediation.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F044	Teacher dashboard	Student drawer	Teacher	As a teacher, I want a drawer for a single student with grade, recent work, unlocks, nudges, and actions.	Student drawer fetches profile/grade/recent/unlocks/nudges, renders Schoology-vs-v3 reconciliation, supports older nudge pagination, view-as, send message, remediation, and gate actions.	teacher-dashboard.html; roster-server/teacher.js	tests/teacher-student-console-drawer.test.js; tests/teacher-student-console-nudges-pagination.test.js; tests/teacher-student-console-unlocks.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F045	Teacher dashboard	View as student	Teacher	As a teacher, I want to open a student's Desk read-only to troubleshoot their exact experience.	Dashboard and cockpit actions open the Desk with view-as state; gradebookClient.fetchPrior honors __VIEW_AS_STUDENT_ID__ with teacher token for read-only prior answer access.	teacher-dashboard.html; teacher-classroom.html; gradebook-client.js	tests/desk-view-as.test.js; tests/preview-as-student.test.js; tests/worksheet-viewas-module.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F046	Teacher dashboard	Reward disbursement wallet panel	Teacher	As a teacher, I want to inspect class wallets, mark physical rewards, and set Doge addresses.	Dashboard fetches doge price, class wallets, class chain, supports mark candy/doge sent and address update controls, and paints reward rows.	teacher-dashboard.html; roster-server/doge-wallet.js	tests/teacher-reward-disbursement.test.js; roster-server/tests/doge-wallet.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F047	Teacher dashboard	Pacing overview	Teacher	As a teacher, I want pacing/readiness indicators so I know who is ahead, behind, or ready.	Dashboard loads summer schedule, computes done counts, readiness labels, relative time, and renders pacing cards/rows from class payload.	teacher-dashboard.html; data/summer-schedule.json	tests/desk-pacing-overview.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F048	Teacher dashboard	Trainer practice summary	Teacher	As a teacher, I want to see TI-84 trainer participation and average performance by student.	Dashboard renders trainer procedures, averages, and last activity from class grade payload; server trainer routes support summary queries.	teacher-dashboard.html; roster-server/trainer.js	roster-server/tests/trainer.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F049	Teacher roster console	Connection and secret handling	Teacher	As a teacher, I want to point the roster console at a service and manage the teacher secret safely on my device.	teacher-roster-console.html has service URL preset/custom field, teacher secret field, remember-secret checkbox, clear saved secret, test connection, and status messaging.	teacher-roster-console.html	tests/roster-console-structure.test.js; tests/teacher-auth-pages.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F050	Teacher roster console	Bulk class enrollment	Teacher	As a teacher, I want to paste a class list and enroll every student with generated or fixed passwords, then export credentials.	The console parses class list, section, password mode, fixed password row, calls rosterClient.enroll or server enroll, renders enrolled table, and exposes CSV download.	teacher-roster-console.html; roster-client.js; roster-server/server.js	tests/roster-console-structure.test.js; roster-server/tests/roster-edit.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F051	Teacher roster console	Single student enrollment	Teacher	As a teacher, I want to add one student with name, section, password, and optional email.	The console has Add One Student controls and posts enrollment with teacher secret, displaying username/studentId or error status.	teacher-roster-console.html; roster-client.js; roster-server/server.js	tests/roster-client.test.js; roster-server/tests/auth.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F052	Teacher roster console	Roster view/edit/duplicate/delete	Teacher	As a teacher, I want to load rosters, export them, and repair student records.	The console loads roster by section, renders rows with password/must-change status, edit/duplicate/delete buttons; server supports list, PATCH, DELETE, schoology UID, and section roster routes.	teacher-roster-console.html; roster-server/server.js	tests/roster-console-structure.test.js; tests/teacher-roster-uids.test.js; roster-server/tests/roster-edit.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F053	Teacher tools	Unit code generator	Teacher	As a teacher, I want to generate unlock codes for one student, all units, or bulk CSV rows and copy them reliably.	teacher-code-generator.html supports single code, all codes U2-U9, bulk CSV table, validation errors, async code computation, copy buttons, and copied feedback.	teacher-code-generator.html	tests/unlock-codes.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
